movie_Released,song_bpmHistogramFirstPeakBpmMean,song_danceability,movie_Runtime,movie_BoxOffice,song_bpmHistogramSecondPeakBpmMedian,song_tuningEqualTemperedDeviation,song_tuningFrequency,song_bpmHistogramSecondPeakBpmMean,song_bpm,song_bpmHistogramFirstPeakBpmMedian,song_mfccZeroMean,movie_imdbRating,song_onsetRate,movie_Genre,song_averageLoudness,song_dynamicComplexity
2000-08-09,106,1.07002983,114,122132047,99,0.20395937,439.48155571,107,108.84279663,103,-677.9623935,7.4,3.46548652,Action,0.75964535,4.23238158
1987-11-14,110,1.14080056,106,150940841,103,0.2044572,437.75876811,105,108.54156914,106,-686.15576243,7.7,3.51639023,Drama,0.8143418,5.19915108
1993-08-17,107,1.0882098,118,116069102,111,0.21739806,438.98904694,98,110.51120454,104,-704.5650966,7.1,3.51711075,Drama,0.76511053,4.26915127
1998-08-01,105,1.06812724,108,107629409,109,0.06746384,438.54247017,103,108.83221588,108,-684.45370857,7.6,3.51723345,Action,0.71990864,4.26352889
1990-09-24,111,1.14588501,106,123298868,114,0.21656145,436.8165217,101,109.38034251,104,-679.10656745,7.2,3.2001909,Drama,0.78013692,4.25127103
1993-09-12,104,1.06331278,106,153394187,110,0.18486534,438.43082098,107,104.75479694,103,-704.36970928,7.2,3.51703675,Action,0.63564307,4.48514919
1992-02-26,107,1.12459382,113,106532303,104,0.21371797,438.74102263,106,108.73989117,107,-689.62602818,7.5,3.50925014,Drama,0.72497367,4.27032622
2000-09-05,111,1.06405992,107,126835226,108,0.1384307,438.48204797,110,108.48534918,103,-704.5776921,7.8,3.51040706,Action,0.70411763,4.26515111
1993-05-22,103,1.06817471,108,134470532,112,0.20539002,436.38454216,101,108.15258615,110,-675.64814473,7.4,3.51707076,Drama,0.82331934,5.20451757
1991-05-21,106,1.1111255,110,119705090,104,0.13288024,436.32047752,100,108.85914392,104,-681.00341829,7.7,3.53726807,Drama,0.78714302,4.24907145
1995-10-28,106,1.06353519,116,119843010,105,0.04154765,439.12978971,113,108.75539751,106,-678.61276185,7.5,3.51678153,Action,0.61861341,4.23179726
2000-07-18,111,1.07105624,118,117405847,113,0.17335642,437.39346705,112,109.52551122,104,-677.82694352,7.6,3.54820573,Drama,0.819832,5.39159475
